zip3,total,white_nonhispanic,black_nonhispanic,aian_nonhispanic,asian_nonhispanic,nhpi_nonhispanic,other_race_nonhispanic,two_or_more_nonhispanic,hispanic,other_nonhispanic,pct_white_nonhispanic,pct_black_nonhispanic,pct_asian_nonhispanic,pct_hispanic,pct_other_nonhispanic,race_proxy_group
050,60386.0,57194.0,473.0,139.0,430.0,39.0,162.0,1074.0,875.0,1414.0,0.9471400655781141,0.007832941410260657,0.007120855827509688,0.014490113602490643,0.02341602358162488,white_nonhispanic
051,28720.0,27178.0,328.0,17.0,137.0,44.0,0.0,518.0,498.0,579.0,0.9463091922005571,0.011420612813370474,0.0047701949860724235,0.01733983286908078,0.02016016713091922,white_nonhispanic
052,32419.0,30539.0,134.0,60.0,373.0,15.0,26.0,686.0,586.0,787.0,0.9420093155248466,0.004133378574292853,0.011505598568740553,0.018075819735340386,0.024275887596779667,white_nonhispanic
053,36294.0,33906.0,270.0,66.0,457.0,0.0,0.0,745.0,850.0,811.0,0.9342040006612663,0.007439246156389486,0.012591612938777759,0.023419849010855788,0.022345291232710642,white_nonhispanic
054,241248.0,218765.0,4440.0,632.0,7097.0,45.0,538.0,4829.0,4902.0,6044.0,0.9068054450192333,0.018404297652208516,0.02941786045894681,0.02031933943493832,0.025053057434673034,white_nonhispanic
056,84746.0,80059.0,690.0,397.0,623.0,27.0,39.0,1373.0,1538.0,1836.0,0.9446935548580464,0.008141977202463834,0.007351379416137635,0.018148349184622284,0.021664739338729852,white_nonhispanic
057,79941.0,75134.0,824.0,337.0,1150.0,0.0,79.0,877.0,1540.0,1293.0,0.9398681527626624,0.010307601856369072,0.014385609386922855,0.01926420735292278,0.01617442864112283,white_nonhispanic
058,57737.0,54935.0,391.0,205.0,255.0,0.0,50.0,1066.0,835.0,1321.0,0.9514695948871608,0.00677208722309784,0.004416578623759461,0.014462130003290784,0.02287960926269117,white_nonhispanic
059,3486.0,3313.0,52.0,14.0,19.0,0.0,4.0,31.0,53.0,49.0,0.9503729202524384,0.01491681009753299,0.005450372920252439,0.015203671830177854,0.014056224899598393,white_nonhispanic
060,674198.0,488917.0,56269.0,1336.0,35737.0,176.0,1354.0,13849.0,76560.0,16715.0,0.7251831064464742,0.08346064509239126,0.05300668349653959,0.11355714493368417,0.0247924200309108,white_nonhispanic
061,293910.0,126247.0,60951.0,251.0,13181.0,0.0,1524.0,6496.0,85260.0,8271.0,0.42954305739852333,0.20737981014596304,0.04484706202579021,0.29008880269470244,0.028141267735020924,white_nonhispanic
062,164614.0,137663.0,3013.0,38.0,4715.0,17.0,219.0,3314.0,15635.0,3588.0,0.8362775948582745,0.018303424982079288,0.028642764284933238,0.09497977085788573,0.021796445016827246,white_nonhispanic
063,263446.0,199086.0,14213.0,1254.0,10741.0,80.0,380.0,9933.0,27759.0,11647.0,0.7556994602309391,0.05395033517305254,0.040771163729948455,0.10536884219156867,0.04421019867449117,white_nonhispanic
064,717951.0,595579.0,25678.0,583.0,25288.0,98.0,745.0,10141.0,59839.0,11567.0,0.8295538274896198,0.03576567203054248,0.035222459471468105,0.08334691364731019,0.01611112736105946,white_nonhispanic
065,289393.0,134374.0,67151.0,512.0,14398.0,40.0,793.0,7157.0,64968.0,8502.0,0.46433051248648033,0.23204085793367496,0.04975241280887927,0.2244974826619856,0.02937873410897983,white_nonhispanic
